epoch,loss,mean_accuracy,mean_iou,step,val_loss,val_mean_accuracy,val_mean_iou
0,0.045351531356573105,1.0,1.0,49,,,
0,0.008863545022904873,1.0,1.0,99,,,
0,,,,100,0.008172486908733845,1.0,1.0
1,0.0049027553759515285,1.0,1.0,149,,,
1,0.0032163048163056374,1.0,1.0,199,,,
1,,,,201,0.0028140414506196976,1.0,1.0
2,0.0021053701639175415,1.0,1.0,249,,,
2,0.0020075447391718626,1.0,1.0,299,,,
2,,,,302,0.0014510247856378555,1.0,1.0
3,0.0011598612181842327,1.0,1.0,349,,,
3,0.0010385934729129076,1.0,1.0,399,,,
3,,,,403,0.0008957652025856078,1.0,1.0
4,0.0007963666575960815,1.0,1.0,449,,,
4,0.000589182716794312,1.0,1.0,499,,,
4,,,,504,0.0006145575316622853,1.0,1.0
5,0.0005147254560142756,1.0,1.0,549,,,
5,0.00045665691141039133,1.0,1.0,599,,,
5,,,,605,0.00044981198152527213,1.0,1.0
6,0.0003993235877715051,1.0,1.0,649,,,
6,0.0003286641149315983,1.0,1.0,699,,,
6,,,,706,0.0003446794580668211,1.0,1.0
7,0.000301268242765218,1.0,1.0,749,,,
7,0.0002614372642710805,1.0,1.0,799,,,
7,,,,807,0.0002729090629145503,1.0,1.0
8,0.00023837936169002205,1.0,1.0,849,,,
8,0.00024176729493774474,1.0,1.0,899,,,
8,,,,908,0.00022155276383273304,1.0,1.0
9,0.00020706972281914204,1.0,1.0,949,,,
9,0.00018560966418590397,1.0,1.0,999,,,
9,,,,1009,0.00018325645942240953,1.0,1.0
10,0.00018183383508585393,1.0,1.0,1049,,,
10,0.00014282611664384604,1.0,1.0,1099,,,
10,,,,1110,0.00015424203593283892,1.0,1.0
11,0.00014792606816627085,1.0,1.0,1149,,,
11,0.00015028793131932616,1.0,1.0,1199,,,
11,,,,1211,0.00013140779628884047,1.0,1.0
12,0.00011880694364663213,1.0,1.0,1249,,,
12,0.00011125736637040973,1.0,1.0,1299,,,
12,,,,1312,0.00011314604489598423,1.0,1.0
13,0.00010703306179493666,1.0,1.0,1349,,,
