epoch,loss,mean_accuracy,mean_iou,step,val_loss,val_mean_accuracy,val_mean_iou
0,,,,12,0.35982194542884827,1.0,1.0
1,,,,25,0.14673274755477905,1.0,1.0
2,,,,38,0.06267692893743515,1.0,1.0
3,0.03863639011979103,1.0,1.0,49,,,
3,,,,51,0.031257688999176025,1.0,1.0
4,,,,64,0.019436068832874298,1.0,1.0
5,,,,77,0.013816190883517265,1.0,1.0
6,,,,90,0.010670450516045094,1.0,1.0
7,0.011356642469763756,1.0,1.0,99,,,
7,,,,103,0.008594496175646782,1.0,1.0
8,,,,116,0.0071249958127737045,1.0,1.0
9,,,,129,0.00601120013743639,1.0,1.0
10,,,,142,0.005106717348098755,1.0,1.0
11,0.005302157253026962,1.0,1.0,149,,,
11,,,,155,0.0043524750508368015,1.0,1.0
12,,,,168,0.0037262821570038795,1.0,1.0
13,,,,181,0.003230439033359289,1.0,1.0
14,,,,194,0.002835798542946577,1.0,1.0
15,0.002970026805996895,1.0,1.0,199,,,
15,,,,207,0.0025197153445333242,1.0,1.0
16,,,,220,0.002259818371385336,1.0,1.0
17,,,,233,0.0020425887778401375,1.0,1.0
18,,,,246,0.0018583424389362335,1.0,1.0
19,0.0019000371685251594,1.0,1.0,249,,,
19,,,,259,0.00170110072940588,1.0,1.0
20,,,,272,0.0015640705823898315,1.0,1.0
21,,,,285,0.0014441420789808035,1.0,1.0
22,,,,298,0.0013381633907556534,1.0,1.0
23,0.0013588513247668743,1.0,1.0,299,,,
23,,,,311,0.0012445049360394478,1.0,1.0
24,,,,324,0.001160282059572637,1.0,1.0
25,,,,337,0.001085173338651657,1.0,1.0
26,0.0010382670443505049,1.0,1.0,349,,,
26,,,,350,0.0010171205503866076,1.0,1.0
27,,,,363,0.0009553608251735568,1.0,1.0
28,,,,376,0.0008991286740638316,1.0,1.0
29,,,,389,0.0008483998826704919,1.0,1.0
30,0.0008607228519394994,1.0,1.0,399,,,
30,,,,402,0.0008016268839128315,1.0,1.0
31,,,,415,0.000758581212721765,1.0,1.0
32,,,,428,0.000719189178198576,1.0,1.0
33,,,,441,0.0006828249897807837,1.0,1.0
34,0.0006968319648876786,1.0,1.0,449,,,
34,,,,454,0.0006489068036898971,1.0,1.0
35,,,,467,0.0006175193702802062,1.0,1.0
36,,,,480,0.0005885331775061786,1.0,1.0
37,,,,493,0.0005615684203803539,1.0,1.0
