epoch,loss,mean_accuracy,mean_iou,step,val_loss,val_mean_accuracy,val_mean_iou
0,,,,12,0.3407939374446869,1.0,1.0
1,,,,25,0.11956789344549179,1.0,1.0
2,,,,38,0.03899578005075455,1.0,1.0
3,0.021800538524985313,1.0,1.0,49,,,
3,,,,51,0.01849210262298584,1.0,1.0
